id;street;house_number;postal_code;city
1;Reilly Ridges;Interactions Versatile hack;Rubber line applications;Alexandria
2;Ondricka Stream;Zambian;optical Michigan;Catonsville
3;Kertzmann Hills;web-readiness copy;Chips purple;Rohanland
4;Chaz Vista;Chile;invoice;Lenexa
5;Xzavier Loop;Hat North;Incredible Applications Pizza;East Kaia
6;Gail Tunnel;override SMTP;Alaska;New Amani
7;Terrence Stream;ubiquitous Avon Orchestrator;Assimilated optical Rustic;Redwood City
8;Pollich Plaza;Canada withdrawal;USB National calculating;Rozellashire
9;Trever Port;Savings motivating Account;Luxembourg Awesome;Port Trevionborough
10;Lynn Shoals;bus Cheese;multi-tasking Supervisor;Gresham
