id;name;location;places;refrigerated_places;lzv_places;hourly_rate;pricing_url;other_services_description;organization;created_on;created_by;updated_on;updated_by;is_active
1;Loan Graphic transmitting;generating De-engineered;57146;95830;48413;64875;portal Central;olive primary digital;non-volatile SQL;2022-07-13T08:47:21;primary;2022-07-13T05:34:30;Enterprise-wide AI red;cross-media
2;feed;Massachusetts;90083;42242;42373;28256;El Supervisor;Infrastructure;Buckinghamshire;2022-07-13T09:04:25;Territories;2022-07-12T18:55:15;green Accounts;calculate
3;multi-byte SDD Island;Configuration payment Wooden;42687;52021;37813;88205;Computer;Up-sized Incredible AGP;enhance Glen;2022-07-13T01:29:26;Facilitator;2022-07-12T10:55:26;salmon Global bluetooth;Chicken
4;methodologies Centralized optical;Group Sol;21081;76436;4333;55593;disintermediate;Shoes Frozen Bike;scale Engineer;2022-07-13T01:16:12;Lempira virtual;2022-07-12T20:10:25;Shoes Handmade;Account Practical Planner
5;XML District;Spurs;32453;12432;23773;44058;withdrawal Saint Shoes;support;envisioneer well-modulated;2022-07-12T23:40:22;quantify Account;2022-07-13T03:52:16;driver parsing AGP;integrate input Bedfordshire
6;Dale;Automated Mandatory;53218;69285;83979;88099;backing;Trafficway HDD;violet;2022-07-12T12:06:48;frame;2022-07-12T12:08:51;Berkshire;Qatari
7;Associate;Usability;34043;55061;46987;29811;Baby Home synthesizing;Customer Pre-emptive Representative;whiteboard;2022-07-12T19:10:27;revolutionary Congolese;2022-07-13T07:55:20;payment Legacy;Director
8;Principal Computers;world-class Port;80924;72521;84493;41021;online Metal;Intelligent THX;Metal;2022-07-12T13:30:47;Reunion portals;2022-07-12T19:39:24;Plastic;24/7 incremental
9;Nigeria;open-source Buckinghamshire;33026;31129;89831;14787;facilitate Jewelery connect;Saudi Robust Jersey;Nebraska users;2022-07-12T16:39:05;Lempira;2022-07-12T17:25:20;Maine Handmade Upgradable;interface cross-platform
10;SSL Berkshire AGP;Account;69345;1864;68964;88212;Rest Representative;grey;Salad azure;2022-07-12T20:03:51;Ireland;2022-07-12T12:15:04;Port Global;Fish
