id;location;primary_road_id;alternative_road_id
1;mobile Tasty;Computers;back-end De-engineered
2;green;Hat;forecast Helena Throughway
3;Specialist copying Drive;Salad invoice;calculate toolset Computers
4;Account hacking;Orchestrator bandwidth calculating;Granite
5;SAS redundant portal;Right-sized gold even-keeled;Manager AI Orchestrator
6;payment wireless;architecture Avon;navigating Table Connecticut
7;protocol yellow;pixel Money maroon;hacking Games Plaza
8;envisioneer deposit quantify;Intuitive ADP interactive;HTTP Berkshire
9;Nebraska Tactics;Handcrafted;front-end
10;Massachusetts Global Progressive;extend;Clothing Outdoors
